frame_id,object_id,class_id,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,feet_x,feet_y,team_id,has_possession,ball_x,ball_y,ball_interpolated,vx_px,vy_px,speed_px_f,speed_km_h
148,10,2,0.5587,795.0,144.5,815.4,177.7,805.2,177.7,0,0,,,,-0.9,0.5,1.03,9.27
148,13,2,0.5398,730.3,133.5,747.1,164.7,738.7,164.7,0,0,,,,-0.4,1.0,1.077,9.69
149,6,2,0.8529,625.7,126.6,652.4,157.0,639.1,157.0,0,0,,,,-0.1,0.3,0.316,2.85
149,7,2,0.781,372.8,146.0,399.4,176.8,386.1,176.8,0,0,,,,1.7,1.1,2.025,18.22
149,11,2,0.7694,564.4,125.8,585.1,156.4,574.8,156.4,0,0,,,,0.3,1.0,1.044,9.4
149,5,2,0.769,868.1,167.1,899.9,199.4,884.0,199.4,0,0,,,,-2.1,-0.3,2.121,19.09
149,10,2,0.7321,793.4,145.4,814.3,178.0,803.9,178.0,0,0,,,,-1.3,0.3,1.334,12.01
149,13,2,0.4708,729.5,133.8,746.6,164.1,738.0,164.1,0,0,,,,-0.7,-0.6,0.922,8.3
150,6,2,0.8546,625.7,126.9,652.8,157.2,639.2,157.2,0,0,,,,0.1,0.2,0.224,2.01
150,7,2,0.852,373.6,146.3,400.5,176.9,387.1,176.9,0,0,,,,1.0,0.1,1.005,9.04
150,5,2,0.748,867.5,167.1,898.8,199.2,883.2,199.2,0,0,,,,-0.8,-0.2,0.825,7.42
150,10,2,0.7392,793.1,145.8,814.1,178.2,803.6,178.2,0,0,,,,-0.3,0.2,0.361,3.24
150,11,2,0.7246,564.6,126.5,585.1,156.8,574.9,156.8,0,0,,,,0.1,0.4,0.412,3.71
150,13,2,0.5888,729.3,133.9,746.3,164.5,737.8,164.5,0,0,,,,-0.2,0.4,0.447,4.02
150,14,1,0.4655,339.1,153.9,355.3,184.0,347.2,184.0,0,0,,,,0.0,0.0,0.0,0.0
151,6,2,0.8508,625.7,127.2,652.7,157.6,639.2,157.6,0,0,,,,0.0,0.4,0.4,3.6
151,7,2,0.8446,374.3,146.3,401.4,176.9,387.8,176.9,0,0,,,,0.7,0.0,0.7,6.3
151,5,2,0.8007,867.4,167.6,899.0,199.6,883.2,199.6,0,0,,,,0.0,0.4,0.4,3.6
151,10,2,0.749,793.0,146.4,813.7,178.2,803.4,178.2,0,0,,,,-0.2,0.0,0.2,1.8
151,14,1,0.6912,340.5,153.4,357.9,183.7,349.2,183.7,0,0,,,,2.0,-0.3,2.022,18.2
151,11,2,0.6712,565.1,126.3,585.3,156.8,575.2,156.8,0,0,,,,0.3,0.0,0.3,2.7
151,15,2,0.5827,764.3,592.5,781.1,622.0,772.7,622.0,1,0,,,,0.0,0.0,0.0,0.0
151,13,2,0.4836,729.4,134.0,746.4,165.1,737.9,165.1,0,0,,,,0.1,0.6,0.608,5.47
152,7,2,0.8468,375.3,146.8,402.5,177.3,388.9,177.3,0,0,,,,1.1,0.4,1.17,10.53
152,6,2,0.8448,626.6,127.2,653.3,158.1,639.9,158.1,0,0,,,,0.7,0.5,0.86,7.74
152,10,2,0.7261,792.9,147.0,813.4,178.6,803.1,178.6,0,0,,,,-0.3,0.4,0.5,4.5
152,5,2,0.7042,866.4,167.8,896.7,200.4,881.5,200.4,0,0,,,,-1.7,0.8,1.879,16.91
152,15,2,0.6522,764.2,590.2,783.8,621.8,774.0,621.8,1,0,,,,1.3,-0.2,1.315,11.84
152,11,2,0.5595,565.7,127.2,585.6,157.4,575.7,157.4,0,0,,,,0.5,0.6,0.781,7.03
152,13,2,0.4633,729.2,134.5,746.4,165.5,737.8,165.5,0,0,,,,-0.1,0.4,0.412,3.71
152,14,1,0.4372,341.2,153.9,359.5,183.7,350.4,183.7,0,0,,,,1.2,0.0,1.2,10.8
153,6,2,0.8505,627.0,127.4,653.3,158.5,640.2,158.5,0,0,,,,0.3,0.4,0.5,4.5
153,7,2,0.8383,376.4,147.2,403.6,178.4,390.0,178.4,0,0,,,,1.1,1.1,1.556,14.0
153,5,2,0.796,865.9,167.9,896.2,199.4,881.0,199.4,0,0,,,,-0.5,-1.0,1.118,10.06
153,11,2,0.6999,566.3,127.1,585.9,157.8,576.1,157.8,0,0,,,,0.4,0.4,0.566,5.09
153,10,2,0.641,792.7,147.4,813.4,178.9,803.1,178.9,0,0,,,,0.0,0.3,0.3,2.7
